t,y0,y1,y2,error_norm,h
29.4294294294,0.7462061410,0.0000104665,0.2537833925,0.1970644882,0.2486710030
29.5295295295,0.7458776612,0.0000104513,0.2541118875,0.1970644882,0.2486710030
29.6296296296,0.7455501203,0.0000104366,0.2544394431,0.1932429491,0.2486710030
29.7297297297,0.7452235130,0.0000104216,0.2547660653,0.1932429491,0.2486710030
29.8298298298,0.7448978336,0.0000104068,0.2550917596,0.1932429491,0.2486710030
29.9299299299,0.7445730763,0.0000103922,0.2554165316,0.1973958423,0.2536648855
30.0300300300,0.7442492359,0.0000103774,0.2557403868,0.1973958423,0.2536648855
30.1301301301,0.7439263065,0.0000103629,0.2560633306,0.1935600509,0.2536648855
30.2302302302,0.7436042831,0.0000103484,0.2563853686,0.1935600509,0.2536648855
30.3303303303,0.7432831601,0.0000103338,0.2567065061,0.1935600509,0.2536648855
30.4304304304,0.7429629321,0.0000103196,0.2570267484,0.1898204316,0.2536648855
30.5305305305,0.7426435941,0.0000103051,0.2573461008,0.1898204316,0.2536648855
30.6306306306,0.7423251405,0.0000102910,0.2576645686,0.1944297521,0.2591041789
30.7307307307,0.7420075664,0.0000102767,0.2579821569,0.1944297521,0.2591041789
30.8308308308,0.7416908666,0.0000102625,0.2582988709,0.1944297521,0.2591041789
30.9309309309,0.7413750358,0.0000102486,0.2586147156,0.1906622372,0.2591041789
31.0310310310,0.7410600693,0.0000102345,0.2589296962,0.1906622372,0.2591041789
31.1311311311,0.7407459618,0.0000102206,0.2592438176,0.1951381588,0.2645738270
31.2312312312,0.7404327085,0.0000102067,0.2595570848,0.1951381588,0.2645738270
31.3313313313,0.7401203045,0.0000101928,0.2598695027,0.1951381588,0.2645738270
31.4314314314,0.7398087447,0.0000101792,0.2601810761,0.1913469777,0.2645738270
31.5315315315,0.7394980246,0.0000101654,0.2604918100,0.1913469777,0.2645738270
31.6316316316,0.7391881392,0.0000101517,0.2608017091,0.1913469777,0.2645738270
31.7317317317,0.7388790837,0.0000101382,0.2611107781,0.1957109863,0.2700877132
31.8318318318,0.7385708536,0.0000101246,0.2614190218,0.1957109863,0.2700877132
31.9319319319,0.7382634441,0.0000101112,0.2617264447,0.1918997383,0.2700877132
32.0320320320,0.7379568506,0.0000100978,0.2620330516,0.1918997383,0.2700877132
32.1321321321,0.7376510686,0.0000100843,0.2623388471,0.1918997383,0.2700877132
